# 391 reported flooding locations from 3 BBMP layers. NOT a hazard model: no return period, depth or drainage. Absence of a nearby point is not evidence a location does not flood.
name,kind,source_layer,geometry_type,centroid_lng,centroid_lat,vertex_count
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.672222,13.006667,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.696389,13.006667,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.636944,13.008889,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.535528,13.009511,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.680278,13.010556,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.681389,13.010833,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.528064,13.010953,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.679167,13.011389,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.51178,13.01264,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.678889,13.012778,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.561389,13.012895,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.665556,13.018611,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.634722,13.018889,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.5825,13.024722,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.584636,13.029777,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.520142,13.033097,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.490582,13.033173,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.590278,13.033333,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.600278,13.033333,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.597222,13.035556,1
