# OpenStreetMap localities for chennai (T3, ODbL). name_local is the local-script name where OSM carries one.
name,name_local,place_type,lat,lng
Tiruvottiyur,திருவொற்றியூர்,suburb,13.156387,80.300528
Kannagi Nagar,கண்ணகி நகர்,neighbourhood,12.927645,80.239667
Dr Ambedkar Nagar,டாக்டர் அம்பேத்கர் நகர்,neighbourhood,12.990055,80.207484
Maduvankarai,,locality,13.002022,80.210656
AGS Officers Colony,,neighbourhood,12.97897,80.209705
Kannapalayam,,village,13.090793,80.100367
Sundaram Shozhapuram,,village,13.08143,80.11452
Kolladi,கோலடி,village,13.086408,80.140624
Alwarthirunagar,ஆழ்வார்திருநகர்,locality,13.047486,80.183669
Ayanambakkam,அயனம்பாக்கம்,village,13.074888,80.154992
Athipet,ஆதிபேட்டை,village,13.092043,80.154451
Baba Nagar,பாபா நகர்,locality,13.117217,80.203117
Rajan Nagar,ராஜன் நகர்,locality,13.12265,80.207065
Jayaram Nagar,ஜெயராம் நகர்,locality,13.121647,80.209752
SRB Nagar,,locality,13.118638,80.201512
North Jagannatha Nagar,,locality,13.11241,80.202242
South Jagannatha Nagar,,locality,13.109819,80.202113
Rajaji Nagar,இராஜாஜி நகர்,locality,13.111516,80.211606
Kolathur,கொளத்தூர்,suburb,13.124113,80.204628
Mahatma Gandhi Nagar,மகாத்மா காந்தி நகர்,locality,13.126971,80.211194
Ayapakkam,அயப்பாக்கம்,suburb,13.103264,80.132508
Venkatapuram,வெங்கடபுரம்,suburb,13.121015,80.150829
Menambedu,,locality,13.123021,80.165609
Pari Nagar,பாரி நகர்,locality,13.117404,80.16306
Prithvipakkam,,locality,13.118699,80.158811
Tirumullaivoyal,திருமுல்லைவாயல்,suburb,13.129869,80.132722
Parvathi Nagar,பார்வதி நகர்,locality,13.145756,80.249642
Chettinad Enclave,,locality,12.941661,80.201967
Maxworth Nagar,,locality,12.943873,80.199635
Nookampalayam,,hamlet,12.88426,80.20203
Ariyalur,அரியலூர்,village,13.191872,80.250742
Theyampakkam,,hamlet,13.195058,80.23226
Kanniyampettai,,village,13.192708,80.2557
Gandhi Nagar,காந்தி நகர்,neighbourhood,13.041268,80.187183
KK Nagar,கே.கே.நகர்,locality,13.195393,80.161027
Konniyamedu,,village,13.189,80.155482
Pothur,,village,13.157644,80.155825
Mupparapalayam,,village,13.157635,80.137998
Pammadukulam,,village,13.168968,80.162846
Old Erumaivettipalayam,,village,13.228124,80.128407
Madanankuppam,,locality,13.136075,80.190008
Jeth Nagar,,neighbourhood,13.027831,80.262238
Kesavaperumalpuram,,neighbourhood,13.021125,80.254118
Kottur Gardens,,neighbourhood,13.020631,80.244128
Varadapuram,,neighbourhood,13.015421,80.245999
PVS Nagar,,neighbourhood,12.947607,80.242015
Shakti Nagar,,locality,12.944972,80.240633
Secretariat Colony,,neighbourhood,13.08945,80.24282
Metukuppam,,neighbourhood,12.93654,80.237423
Pebble Beach,,locality,12.900092,80.254284
Puzhal,புழல்,suburb,13.163649,80.203807
Esplanade,,locality,13.089135,80.285188
Lloyds Colony,,neighbourhood,13.049074,80.271599
Sundarapuram,,locality,13.096959,80.266632
VOC Nagar,,locality,13.105469,80.262158
Venkatesapuram,,locality,13.10851,80.264024
Narasimha Nagar,,neighbourhood,13.104776,80.266189
Thiruvalluvar Nagar,,neighbourhood,12.96261,80.247467
Officers Colony,,neighbourhood,13.070316,80.228295
Avvai Thiru Nagar,அவ்வை திரு நகர்,locality,13.063872,80.191865
IAS Officers Colony,,locality,13.013385,80.180194
Kamraj nagar,,locality,12.98393,80.257283
Ernavur Gate,,locality,13.184926,80.312643
Pallikaranai,பள்ளிக்கரணை,suburb,12.930475,80.207769
Nemilichery,நெமிலிச்சேரி,suburb,12.946043,80.163715
Assisi Nagar,,locality,13.16461,80.233
Mathur,மாத்தூர்,suburb,13.167864,80.243692
Kuberan Nagar,,neighbourhood,12.957493,80.206235
Vanagaram,வானகரம்,suburb,13.060441,80.153345
Collector Nagar,,locality,13.088494,80.190971
Dwaraka Nagar,,suburb,13.19413,80.274275
Sheela Nagar,,neighbourhood,12.96505,80.202075
Ramalinga Nagar,,neighbourhood,12.967594,80.205851
Jayachandran Nagar,ஜெயச்சந்திரன் நகர்,suburb,12.921633,80.198788
Isha Garden,,neighbourhood,12.913822,80.202028
Avvai Nagar,,neighbourhood,12.977378,80.253883
Elango Nagar,,locality,12.971554,80.252379
Govindaswamy Nagar,,neighbourhood,12.96857,80.245916
