# 4,151 survey parcels from digitised Bengaluru Urban revenue sheets. COVERAGE IS PARTIAL (3 taluks, 7 hoblis). A survey number here is INDICATIVE and settles nothing about boundary or title. Geometry reduced to a centroid. This row is NOT a boundary — joining on the centroid gives you a point inside (or near) the shape, not the shape.
taluk,hobli,village,survey_number,pcode,district,source_sheet,geometry_type,centroid_lng,centroid_lat,vertex_count
Bangalore East,Krishnarajapura,Bendeganahalli,147,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.659535,12.993498,21
Bangalore East,Krishnarajapura,Bendeganahalli,15,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.653562,12.993817,33
Bangalore East,Krishnarajapura,Bendeganahalli,TANK,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.653653,12.994409,15
Bangalore East,Krishnarajapura,Bendeganahalli,75,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.667319,12.994164,6
Bangalore East,Krishnarajapura,Bendeganahalli,61,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.669776,12.993619,11
Bangalore East,Krishnarajapura,Bendeganahalli,60,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.669096,12.992703,20
Bangalore East,Krishnarajapura,Bendeganahalli,74,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.666479,12.993723,7
Bangalore East,Krishnarajapura,Bendeganahalli,146,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.657512,12.992641,11
Bangalore East,Krishnarajapura,Bendeganahalli,87,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.663314,12.99262,16
Bangalore East,Krishnarajapura,Bendeganahalli,86,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.663541,12.993399,9
Bangalore East,Krishnarajapura,Bendeganahalli,22,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.649487,12.992997,19
Bangalore East,Krishnarajapura,Bendeganahalli,85,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.664813,12.992891,10
Bangalore East,Krishnarajapura,Bendeganahalli,58,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.668552,12.993045,15
Bangalore East,Krishnarajapura,Bendeganahalli,88,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.662062,12.993205,6
Bangalore East,Krishnarajapura,Bendeganahalli,72,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.667154,12.993021,10
Bangalore East,Krishnarajapura,Bendeganahalli,144,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.659181,12.992881,5
Bangalore East,Krishnarajapura,Bendeganahalli,73,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.666317,12.992874,14
Bangalore East,Krishnarajapura,Bendeganahalli,89,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.661456,12.992953,7
Bangalore East,Krishnarajapura,Bendeganahalli,16,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.655528,12.991781,10
Bangalore East,Krishnarajapura,Bendeganahalli,143,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.660561,12.991814,14
Bangalore East,Krishnarajapura,Bendeganahalli,90,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.661941,12.992575,7
Bangalore East,Krishnarajapura,Bendeganahalli,59,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.668484,12.992531,14
Bangalore East,Krishnarajapura,Bendeganahalli,71,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.666435,12.992353,10
Bangalore East,Krishnarajapura,Bendeganahalli,64,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.669752,12.991966,7
Bangalore East,Krishnarajapura,Bendeganahalli,17,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.654584,12.991545,9
Bangalore East,Krishnarajapura,Bendeganahalli,65,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.669098,12.991767,9
Bangalore East,Krishnarajapura,Bendeganahalli,67,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.667428,12.991975,9
Bangalore East,Krishnarajapura,Bendeganahalli,91,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.663134,12.991681,16
Bangalore East,Krishnarajapura,Bendeganahalli,70,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.665629,12.99184,10
Bangalore East,Krishnarajapura,Bendeganahalli,69,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.666756,12.99124,19
Bangalore East,Krishnarajapura,Bendeganahalli,21,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.650904,12.991982,6
Bangalore East,Krishnarajapura,Bendeganahalli,66,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.668523,12.991617,14
Bangalore East,Krishnarajapura,Bendeganahalli,145,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.658325,12.991134,9
Bangalore East,Krishnarajapura,Bendeganahalli,142,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.66227,12.990943,13
Bangalore East,Krishnarajapura,Bendeganahalli,18,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.652513,12.990453,9
Bangalore East,Krishnarajapura,Bendeganahalli,68,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.668231,12.99101,11
Bangalore East,Krishnarajapura,Bendeganahalli,94,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.665989,12.990791,13
Bangalore East,Krishnarajapura,Bendeganahalli,114,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.668705,12.990665,10
Bangalore East,Krishnarajapura,Bendeganahalli,115,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.669337,12.98998,8
Bangalore East,Krishnarajapura,Bendeganahalli,116,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.670165,12.990233,11
Bangalore East,Krishnarajapura,Bendeganahalli,92,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.664223,12.990628,9
Bangalore East,Krishnarajapura,Bendeganahalli,93,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.665007,12.990834,6
Bangalore East,Krishnarajapura,Bendeganahalli,MAJARE_BASAVANAPURA,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.663777,12.990208,15
